https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BAT,Volume USDT,tradecount
1637193600000,2021-11-18 00:00:00,BAT/USDT,1.06500000,1.06610000,1.05830000,1.06440000,258051.00000000,274173.30620000,622
1637190000000,2021-11-17 23:00:00,BAT/USDT,1.05800000,1.06880000,1.05340000,1.06610000,500862.00000000,532119.65690000,1673
1637186400000,2021-11-17 22:00:00,BAT/USDT,1.06190000,1.06290000,1.04970000,1.05770000,375615.00000000,396677.40340000,1175
1637182800000,2021-11-17 21:00:00,BAT/USDT,1.06660000,1.06680000,1.05140000,1.06210000,318127.00000000,336330.60740000,1267
1637179200000,2021-11-17 20:00:00,BAT/USDT,1.05990000,1.06910000,1.05540000,1.06690000,201178.00000000,213543.73650000,1121
1637175600000,2021-11-17 19:00:00,BAT/USDT,1.07090000,1.07420000,1.05590000,1.06010000,532826.00000000,566402.56490000,1734
1637172000000,2021-11-17 18:00:00,BAT/USDT,1.06950000,1.07290000,1.06640000,1.07180000,347062.00000000,370954.58560000,1141
1637168400000,2021-11-17 17:00:00,BAT/USDT,1.07410000,1.07490000,1.06020000,1.06950000,373819.00000000,398646.07870000,1755
1637164800000,2021-11-17 16:00:00,BAT/USDT,1.06050000,1.07450000,1.05290000,1.07320000,516601.00000000,550268.25840000,2765
1637161200000,2021-11-17 15:00:00,BAT/USDT,1.05530000,1.06320000,1.04640000,1.06000000,810180.00000000,854177.76150000,3175
1637157600000,2021-11-17 14:00:00,BAT/USDT,1.07240000,1.07860000,1.05470000,1.05530000,748563.00000000,800509.77270000,4298
1637154000000,2021-11-17 13:00:00,BAT/USDT,1.07950000,1.08620000,1.07200000,1.07270000,593480.00000000,639631.04590000,2742
1637150400000,2021-11-17 12:00:00,BAT/USDT,1.09080000,1.09290000,1.07880000,1.08000000,507965.00000000,551831.79220000,1980
1637146800000,2021-11-17 11:00:00,BAT/USDT,1.09430000,1.09610000,1.08620000,1.09100000,995707.00000000,1085706.37580000,3340
1637143200000,2021-11-17 10:00:00,BAT/USDT,1.06290000,1.09690000,1.04980000,1.09390000,1448018.00000000,1554293.18710000,8961
1637139600000,2021-11-17 09:00:00,BAT/USDT,1.08520000,1.08520000,1.05820000,1.06340000,1042989.00000000,1117706.35970000,5276
1637136000000,2021-11-17 08:00:00,BAT/USDT,1.09700000,1.10590000,1.08330000,1.08540000,762494.00000000,834870.42010000,3387
1637132400000,2021-11-17 07:00:00,BAT/USDT,1.09970000,1.11050000,1.08760000,1.09760000,872980.00000000,961173.38160000,4844
1637128800000,2021-11-17 06:00:00,BAT/USDT,1.09250000,1.10280000,1.07880000,1.09960000,1348134.00000000,1471350.53890000,4695
1637125200000,2021-11-17 05:00:00,BAT/USDT,1.08620000,1.09880000,1.07950000,1.09270000,1200654.00000000,1309946.16410000,5494
1637121600000,2021-11-17 04:00:00,BAT/USDT,1.06670000,1.08870000,1.05790000,1.08630000,1262882.00000000,1357113.22440000,5687
1637118000000,2021-11-17 03:00:00,BAT/USDT,1.08490000,1.09140000,1.04820000,1.06580000,2497833.00000000,2674522.04230000,12177
1637114400000,2021-11-17 02:00:00,BAT/USDT,1.09300000,1.10790000,1.07610000,1.08560000,1672226.00000000,1824888.20040000,6848
1637110800000,2021-11-17 01:00:00,BAT/USDT,1.09690000,1.14370000,1.08390000,1.09410000,3346996.00000000,3733306.21150000,18298
1637107200000,2021-11-17 00:00:00,BAT/USDT,1.06320000,1.11360000,1.05770000,1.09590000,2437653.00000000,2648352.74520000,11834
1637103600000,2021-11-16 23:00:00,BAT/USDT,1.10130000,1.10770000,1.06180000,1.06360000,1169240.00000000,1266580.95640000,5849
1637100000000,2021-11-16 22:00:00,BAT/USDT,1.09850000,1.11410000,1.09790000,1.10110000,1148896.00000000,1273005.33270000,3916
1637096400000,2021-11-16 21:00:00,BAT/USDT,1.07360000,1.11080000,1.06740000,1.09890000,2281438.00000000,2501937.44230000,8351
