https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CELR,Volume USDT,tradecount
1637193600000,2021-11-18 00:00:00,CELR/USDT,0.11656000,0.11827000,0.11504000,0.11686000,12528364.10000000,1462882.98602900,3265
1637190000000,2021-11-17 23:00:00,CELR/USDT,0.11354000,0.11706000,0.11291000,0.11665000,23154289.30000000,2672838.96375200,5482
1637186400000,2021-11-17 22:00:00,CELR/USDT,0.11345000,0.11436000,0.11243000,0.11344000,11588119.00000000,1311435.33995600,2940
1637182800000,2021-11-17 21:00:00,CELR/USDT,0.11062000,0.11450000,0.10869000,0.11342000,40552948.00000000,4548222.08912400,8073
1637179200000,2021-11-17 20:00:00,CELR/USDT,0.11015000,0.11176000,0.10964000,0.11065000,14240804.20000000,1575998.92313300,3659
1637175600000,2021-11-17 19:00:00,CELR/USDT,0.11321000,0.11330000,0.10890000,0.11010000,20556476.50000000,2276175.30315600,5300
1637172000000,2021-11-17 18:00:00,CELR/USDT,0.11389000,0.11471000,0.11238000,0.11319000,19015964.30000000,2159329.33803900,4343
1637168400000,2021-11-17 17:00:00,CELR/USDT,0.11369000,0.11639000,0.11211000,0.11390000,58395366.00000000,6678888.08444600,15053
1637164800000,2021-11-17 16:00:00,CELR/USDT,0.10667000,0.11432000,0.10528000,0.11357000,33809880.30000000,3733159.08707200,9533
1637161200000,2021-11-17 15:00:00,CELR/USDT,0.10644000,0.10732000,0.10467000,0.10673000,15998210.50000000,1697463.90699600,3876
1637157600000,2021-11-17 14:00:00,CELR/USDT,0.10966000,0.11003000,0.10625000,0.10646000,22640298.20000000,2452274.71697000,6297
1637154000000,2021-11-17 13:00:00,CELR/USDT,0.10855000,0.11008000,0.10776000,0.10961000,16021237.40000000,1745569.31665800,5100
1637150400000,2021-11-17 12:00:00,CELR/USDT,0.10782000,0.10907000,0.10692000,0.10854000,17742211.50000000,1912143.21410100,3428
1637146800000,2021-11-17 11:00:00,CELR/USDT,0.10634000,0.10816000,0.10520000,0.10782000,17506592.40000000,1873945.03302100,3892
1637143200000,2021-11-17 10:00:00,CELR/USDT,0.10270000,0.10662000,0.10250000,0.10622000,24526519.50000000,2571740.22765800,6041
1637139600000,2021-11-17 09:00:00,CELR/USDT,0.10321000,0.10376000,0.10220000,0.10264000,14871977.10000000,1530535.68478600,3229
1637136000000,2021-11-17 08:00:00,CELR/USDT,0.10396000,0.10483000,0.10322000,0.10331000,10874366.70000000,1132761.34820500,2581
1637132400000,2021-11-17 07:00:00,CELR/USDT,0.10239000,0.10499000,0.10220000,0.10396000,11225587.20000000,1158942.10258800,3204
1637128800000,2021-11-17 06:00:00,CELR/USDT,0.10361000,0.10391000,0.10186000,0.10240000,10004654.90000000,1028166.73845300,2151
1637125200000,2021-11-17 05:00:00,CELR/USDT,0.10229000,0.10428000,0.10183000,0.10357000,11002796.50000000,1136213.64003400,2920
1637121600000,2021-11-17 04:00:00,CELR/USDT,0.10188000,0.10316000,0.10036000,0.10214000,11019157.40000000,1122319.58665800,2698
1637118000000,2021-11-17 03:00:00,CELR/USDT,0.10304000,0.10415000,0.10087000,0.10177000,17341070.00000000,1779452.72376900,4162
1637114400000,2021-11-17 02:00:00,CELR/USDT,0.10287000,0.10489000,0.10228000,0.10309000,11477774.40000000,1189359.01367200,3133
1637110800000,2021-11-17 01:00:00,CELR/USDT,0.10417000,0.10601000,0.10240000,0.10282000,12529359.30000000,1309531.03138400,3253
1637107200000,2021-11-17 00:00:00,CELR/USDT,0.10428000,0.10716000,0.10367000,0.10416000,17413128.60000000,1826546.83152700,4269
1637103600000,2021-11-16 23:00:00,CELR/USDT,0.10518000,0.10747000,0.10402000,0.10426000,15237286.20000000,1612241.86226000,4694
1637100000000,2021-11-16 22:00:00,CELR/USDT,0.10468000,0.10575000,0.10464000,0.10513000,4884612.60000000,513978.93901600,2037
1637096400000,2021-11-16 21:00:00,CELR/USDT,0.10227000,0.10490000,0.10213000,0.10468000,10599599.00000000,1102755.48140700,3106
1637092800000,2021-11-16 20:00:00,CELR/USDT,0.10464000,0.10464000,0.10054000,0.10228000,15319345.20000000,1565506.12045000,3451
1637089200000,2021-11-16 19:00:00,CELR/USDT,0.10377000,0.10606000,0.10301000,0.10466000,9614847.80000000,1005751.54166300,2634
1637085600000,2021-11-16 18:00:00,CELR/USDT,0.10491000,0.10641000,0.10367000,0.10367000,14272768.40000000,1503257.07410100,3094
1637082000000,2021-11-16 17:00:00,CELR/USDT,0.10505000,0.10589000,0.10396000,0.10494000,10632938.50000000,1117054.84192200,2731
1637078400000,2021-11-16 16:00:00,CELR/USDT,0.10364000,0.10526000,0.10355000,0.10505000,13059483.80000000,1366358.31352900,2779
1637074800000,2021-11-16 15:00:00,CELR/USDT,0.10598000,0.10632000,0.10350000,0.10365000,22502227.10000000,2367216.08901100,4369
1637071200000,2021-11-16 14:00:00,CELR/USDT,0.10503000,0.10775000,0.10494000,0.10599000,22932542.50000000,2439222.72564200,5302
