https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ONE,Volume USDT,tradecount
1637193600000,2021-11-18 00:00:00,ONE/USDT,0.26195000,0.26634000,0.26174000,0.26534000,5138048.20000000,1357705.57516300,3875
1637190000000,2021-11-17 23:00:00,ONE/USDT,0.25878000,0.26213000,0.25785000,0.26205000,8743256.70000000,2270994.33931000,4636
1637186400000,2021-11-17 22:00:00,ONE/USDT,0.25850000,0.26086000,0.25765000,0.25873000,7122373.90000000,1845317.67428700,4435
1637182800000,2021-11-17 21:00:00,ONE/USDT,0.25785000,0.25946000,0.25538000,0.25849000,11925739.20000000,3071223.53085400,6399
1637179200000,2021-11-17 20:00:00,ONE/USDT,0.25622000,0.26111000,0.25363000,0.25785000,12426621.00000000,3199029.20345700,8246
1637175600000,2021-11-17 19:00:00,ONE/USDT,0.25368000,0.26045000,0.25337000,0.25619000,18356251.60000000,4710451.63698200,12269
1637172000000,2021-11-17 18:00:00,ONE/USDT,0.24988000,0.25447000,0.24946000,0.25368000,7461041.50000000,1879890.24906100,5446
1637168400000,2021-11-17 17:00:00,ONE/USDT,0.24970000,0.25063000,0.24609000,0.24988000,6336704.30000000,1574145.42752900,4879
1637164800000,2021-11-17 16:00:00,ONE/USDT,0.24570000,0.24982000,0.24213000,0.24954000,8648410.50000000,2128850.22406600,6010
1637161200000,2021-11-17 15:00:00,ONE/USDT,0.24393000,0.24589000,0.24130000,0.24570000,9726392.10000000,2370442.52412900,6095
1637157600000,2021-11-17 14:00:00,ONE/USDT,0.24953000,0.25091000,0.24365000,0.24403000,7918016.00000000,1958634.88852700,5426
1637154000000,2021-11-17 13:00:00,ONE/USDT,0.25131000,0.25242000,0.24896000,0.24955000,6081929.40000000,1524187.79843700,4493
1637150400000,2021-11-17 12:00:00,ONE/USDT,0.25380000,0.25380000,0.25052000,0.25133000,7710102.50000000,1941699.51068300,4489
1637146800000,2021-11-17 11:00:00,ONE/USDT,0.25085000,0.25387000,0.24942000,0.25373000,12497500.50000000,3150807.48382600,7913
1637143200000,2021-11-17 10:00:00,ONE/USDT,0.24193000,0.25126000,0.24049000,0.25079000,13044701.40000000,3201732.28832700,8234
1637139600000,2021-11-17 09:00:00,ONE/USDT,0.24800000,0.24801000,0.24100000,0.24178000,10058669.50000000,2458088.27560000,6085
1637136000000,2021-11-17 08:00:00,ONE/USDT,0.24937000,0.25184000,0.24750000,0.24793000,9203859.90000000,2297353.82170500,5143
1637132400000,2021-11-17 07:00:00,ONE/USDT,0.24694000,0.25233000,0.24483000,0.24950000,6927593.20000000,1722229.49582300,5332
1637128800000,2021-11-17 06:00:00,ONE/USDT,0.24988000,0.25037000,0.24502000,0.24697000,6920352.20000000,1710440.03578100,4725
1637125200000,2021-11-17 05:00:00,ONE/USDT,0.24769000,0.25037000,0.24622000,0.24977000,4571276.00000000,1136836.60641400,4130
1637121600000,2021-11-17 04:00:00,ONE/USDT,0.24515000,0.24838000,0.24199000,0.24766000,7957682.00000000,1953940.56189800,6711
1637118000000,2021-11-17 03:00:00,ONE/USDT,0.24913000,0.25018000,0.23919000,0.24496000,14242247.60000000,3497860.24430600,10245
1637114400000,2021-11-17 02:00:00,ONE/USDT,0.25080000,0.25229000,0.24817000,0.24912000,5384728.00000000,1346772.18808200,4513
1637110800000,2021-11-17 01:00:00,ONE/USDT,0.25186000,0.25704000,0.25000000,0.25092000,7503567.90000000,1902849.36861800,6181
1637107200000,2021-11-17 00:00:00,ONE/USDT,0.25381000,0.25659000,0.25056000,0.25194000,9074196.50000000,2297294.30861100,7111
1637103600000,2021-11-16 23:00:00,ONE/USDT,0.25833000,0.25906000,0.25263000,0.25406000,4613824.70000000,1181706.02539400,3614
1637100000000,2021-11-16 22:00:00,ONE/USDT,0.25762000,0.25965000,0.25681000,0.25832000,6427323.60000000,1659810.09424700,5129
1637096400000,2021-11-16 21:00:00,ONE/USDT,0.25069000,0.25858000,0.25052000,0.25745000,9549930.20000000,2443406.55120500,6601
1637092800000,2021-11-16 20:00:00,ONE/USDT,0.25781000,0.25781000,0.24740000,0.25091000,14877553.60000000,3742357.87672600,11593
1637089200000,2021-11-16 19:00:00,ONE/USDT,0.25459000,0.25997000,0.25292000,0.25789000,8183286.30000000,2100381.72042500,6610
1637085600000,2021-11-16 18:00:00,ONE/USDT,0.25876000,0.26061000,0.25449000,0.25463000,7161075.20000000,1843111.70072800,5757
1637082000000,2021-11-16 17:00:00,ONE/USDT,0.25945000,0.26137000,0.25724000,0.25879000,5220111.60000000,1353555.96392900,4027
1637078400000,2021-11-16 16:00:00,ONE/USDT,0.25806000,0.26058000,0.25666000,0.25947000,7861581.70000000,2031737.51398500,4990
1637074800000,2021-11-16 15:00:00,ONE/USDT,0.26124000,0.26243000,0.25692000,0.25815000,6854534.50000000,1783617.09251800,5540
1637071200000,2021-11-16 14:00:00,ONE/USDT,0.25833000,0.26447000,0.25748000,0.26124000,15124175.90000000,3956801.49198600,11803
