https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOL,Volume USDT,tradecount
1637193600000,2021-11-18 00:00:00,SOL/USDT,218.90000000,219.79000000,217.50000000,218.87000000,20689.46000000,4527927.08710000,6975
1637190000000,2021-11-17 23:00:00,SOL/USDT,216.39000000,218.97000000,215.38000000,218.94000000,49569.78000000,10784675.97950000,15622
1637186400000,2021-11-17 22:00:00,SOL/USDT,217.05000000,217.45000000,214.48000000,216.34000000,40952.32000000,8840507.61790000,10864
1637182800000,2021-11-17 21:00:00,SOL/USDT,217.60000000,217.78000000,214.11000000,217.06000000,74967.62000000,16161834.24890000,17733
1637179200000,2021-11-17 20:00:00,SOL/USDT,214.46000000,217.76000000,212.52000000,217.62000000,83793.83000000,18037708.44510000,23568
1637175600000,2021-11-17 19:00:00,SOL/USDT,216.12000000,217.58000000,213.03000000,214.47000000,97861.64000000,21083766.54050000,23788
1637172000000,2021-11-17 18:00:00,SOL/USDT,214.44000000,217.22000000,213.79000000,216.13000000,74700.77000000,16052720.55000000,22043
1637168400000,2021-11-17 17:00:00,SOL/USDT,216.33000000,216.39000000,212.03000000,214.44000000,79082.87000000,16903155.60010000,21041
1637164800000,2021-11-17 16:00:00,SOL/USDT,213.66000000,216.67000000,211.40000000,216.33000000,96079.68000000,20575593.34190000,28668
1637161200000,2021-11-17 15:00:00,SOL/USDT,213.84000000,214.45000000,210.02000000,213.67000000,107949.09000000,22886812.05790000,35012
1637157600000,2021-11-17 14:00:00,SOL/USDT,217.13000000,219.32000000,213.77000000,213.85000000,84891.57000000,18416790.49900000,24699
1637154000000,2021-11-17 13:00:00,SOL/USDT,219.83000000,220.59000000,217.01000000,217.14000000,93442.37000000,20398787.35870000,23961
1637150400000,2021-11-17 12:00:00,SOL/USDT,220.32000000,222.44000000,219.05000000,219.74000000,93229.18000000,20572976.24160000,34566
1637146800000,2021-11-17 11:00:00,SOL/USDT,218.64000000,220.46000000,216.84000000,220.28000000,104748.07000000,22911866.92820000,39323
1637143200000,2021-11-17 10:00:00,SOL/USDT,211.06000000,219.00000000,209.53000000,218.68000000,154759.29000000,33068895.06020000,48055
1637139600000,2021-11-17 09:00:00,SOL/USDT,215.00000000,215.01000000,210.48000000,211.05000000,83103.24000000,17688963.64000000,43646
1637136000000,2021-11-17 08:00:00,SOL/USDT,214.82000000,217.21000000,214.15000000,215.01000000,70573.51000000,15217122.27290000,40945
1637132400000,2021-11-17 07:00:00,SOL/USDT,212.62000000,216.55000000,211.22000000,214.81000000,78670.72000000,16827229.11510000,28826
1637128800000,2021-11-17 06:00:00,SOL/USDT,214.16000000,214.81000000,211.00000000,212.62000000,64904.66000000,13800121.74530000,23843
1637125200000,2021-11-17 05:00:00,SOL/USDT,213.59000000,214.91000000,212.40000000,214.16000000,90300.37000000,19303766.74640000,25495
1637121600000,2021-11-17 04:00:00,SOL/USDT,212.50000000,214.48000000,210.71000000,213.41000000,97298.77000000,20669777.95360000,38939
1637118000000,2021-11-17 03:00:00,SOL/USDT,216.03000000,217.33000000,211.73000000,212.49000000,139840.99000000,29958870.18550000,47228
1637114400000,2021-11-17 02:00:00,SOL/USDT,215.94000000,218.52000000,215.22000000,216.07000000,69906.78000000,15148366.55260000,23325
1637110800000,2021-11-17 01:00:00,SOL/USDT,218.34000000,220.53000000,215.83000000,215.92000000,74731.87000000,16306066.97290000,28024
1637107200000,2021-11-17 00:00:00,SOL/USDT,219.09000000,221.36000000,217.35000000,218.38000000,89431.55000000,19612992.47740000,45377
1637103600000,2021-11-16 23:00:00,SOL/USDT,223.66000000,224.05000000,218.85000000,219.04000000,49053.65000000,10843806.10890000,25151
1637100000000,2021-11-16 22:00:00,SOL/USDT,222.98000000,224.95000000,222.94000000,223.59000000,39576.24000000,8869459.15220000,29130
1637096400000,2021-11-16 21:00:00,SOL/USDT,219.76000000,224.00000000,219.41000000,222.99000000,71609.67000000,15940814.72780000,32227
1637092800000,2021-11-16 20:00:00,SOL/USDT,225.82000000,225.89000000,216.81000000,219.77000000,140071.39000000,30912405.06170000,57239
1637089200000,2021-11-16 19:00:00,SOL/USDT,222.53000000,226.97000000,222.27000000,225.90000000,71169.68000000,16021178.55780000,22513
1637085600000,2021-11-16 18:00:00,SOL/USDT,224.59000000,226.55000000,222.24000000,222.55000000,53488.13000000,12007089.26440000,18600
1637082000000,2021-11-16 17:00:00,SOL/USDT,224.54000000,225.93000000,224.43000000,224.52000000,50463.46000000,11359552.94430000,26922
1637078400000,2021-11-16 16:00:00,SOL/USDT,225.24000000,226.10000000,223.44000000,224.54000000,55276.18000000,12408473.11400000,23453
1637074800000,2021-11-16 15:00:00,SOL/USDT,226.72000000,227.62000000,224.78000000,225.29000000,50733.79000000,11473663.91970000,23491
1637071200000,2021-11-16 14:00:00,SOL/USDT,222.63000000,227.82000000,222.23000000,226.72000000,128305.41000000,28960780.73210000,43129
1637067600000,2021-11-16 13:00:00,SOL/USDT,220.44000000,224.15000000,220.41000000,222.63000000,93042.03000000,20640228.39690000,32937
1637064000000,2021-11-16 12:00:00,SOL/USDT,224.93000000,225.56000000,220.28000000,220.45000000,88900.43000000,19869686.79170000,26423
1637060400000,2021-11-16 11:00:00,SOL/USDT,224.09000000,226.33000000,223.47000000,224.93000000,107138.00000000,24079064.00020000,32705
1637056800000,2021-11-16 10:00:00,SOL/USDT,222.26000000,224.56000000,213.81000000,224.14000000,352422.14000000,77309636.93660000,116998
1637053200000,2021-11-16 09:00:00,SOL/USDT,228.44000000,229.90000000,222.20000000,222.30000000,115671.16000000,26103945.04850000,41644
1637049600000,2021-11-16 08:00:00,SOL/USDT,226.67000000,228.78000000,224.92000000,228.44000000,69565.03000000,15767212.61880000,22040
1637046000000,2021-11-16 07:00:00,SOL/USDT,226.39000000,228.14000000,224.80000000,226.63000000,77731.94000000,17590017.57640000,23321
1637042400000,2021-11-16 06:00:00,SOL/USDT,227.79000000,228.15000000,224.90000000,226.39000000,75721.90000000,17137422.50310000,23792
1637038800000,2021-11-16 05:00:00,SOL/USDT,229.27000000,229.92000000,227.39000000,227.78000000,62439.04000000,14277809.32310000,17811
1637035200000,2021-11-16 04:00:00,SOL/USDT,226.74000000,230.62000000,224.37000000,229.31000000,116927.84000000,26616440.20900000,38041
1637031600000,2021-11-16 03:00:00,SOL/USDT,228.85000000,230.00000000,224.13000000,226.70000000,123458.93000000,28035119.71000000,44876
1637028000000,2021-11-16 02:00:00,SOL/USDT,231.61000000,233.29000000,228.04000000,228.94000000,137286.38000000,31778145.20890000,33931
1637024400000,2021-11-16 01:00:00,SOL/USDT,229.99000000,232.76000000,225.01000000,231.65000000,219639.17000000,50407009.02210000,90401
1637020800000,2021-11-16 00:00:00,SOL/USDT,238.18000000,238.21000000,229.93000000,230.01000000,207932.08000000,48475876.37210000,75261
1637017200000,2021-11-15 23:00:00,SOL/USDT,238.80000000,239.04000000,237.00000000,238.20000000,60173.51000000,14325045.98920000,33845
1637013600000,2021-11-15 22:00:00,SOL/USDT,237.47000000,239.16000000,235.34000000,238.79000000,48716.19000000,11531438.55070000,21658
1637010000000,2021-11-15 21:00:00,SOL/USDT,236.17000000,238.44000000,234.49000000,237.48000000,81473.85000000,19291511.94800000,32938
1637006400000,2021-11-15 20:00:00,SOL/USDT,240.30000000,240.61000000,236.02000000,236.18000000,91662.49000000,21840688.84900000,36653
