https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDC,Volume USDT,tradecount
1637193600000,2021-11-18 00:00:00,USDC/USDT,0.99960000,0.99970000,0.99960000,0.99960000,620865.00000000,620649.13140000,229
1637190000000,2021-11-17 23:00:00,USDC/USDT,0.99960000,0.99970000,0.99960000,0.99960000,2334602.00000000,2333723.69140000,1131
1637186400000,2021-11-17 22:00:00,USDC/USDT,0.99960000,0.99970000,0.99960000,0.99970000,4274344.00000000,4272809.64120000,1533
1637182800000,2021-11-17 21:00:00,USDC/USDT,0.99960000,0.99970000,0.99960000,0.99970000,4393651.00000000,4391962.06340000,1376
1637179200000,2021-11-17 20:00:00,USDC/USDT,0.99960000,0.99970000,0.99960000,0.99960000,3949749.00000000,3948274.75770000,1532
1637175600000,2021-11-17 19:00:00,USDC/USDT,0.99960000,0.99970000,0.99960000,0.99960000,4871760.00000000,4869929.35340000,1738
1637172000000,2021-11-17 18:00:00,USDC/USDT,0.99970000,0.99970000,0.99960000,0.99960000,4869343.00000000,4867516.21650000,1478
1637168400000,2021-11-17 17:00:00,USDC/USDT,0.99960000,0.99970000,0.99960000,0.99970000,3096647.00000000,3095520.66960000,1398
1637164800000,2021-11-17 16:00:00,USDC/USDT,0.99960000,0.99970000,0.99960000,0.99960000,5944589.00000000,5942430.50220000,1617
1637161200000,2021-11-17 15:00:00,USDC/USDT,0.99970000,0.99970000,0.99960000,0.99960000,7132437.00000000,7129853.46190000,2034
1637157600000,2021-11-17 14:00:00,USDC/USDT,0.99970000,0.99970000,0.99960000,0.99970000,11177044.00000000,11173322.80680000,2080
1637154000000,2021-11-17 13:00:00,USDC/USDT,0.99960000,0.99970000,0.99960000,0.99960000,7698693.00000000,7695867.69730000,1906
1637150400000,2021-11-17 12:00:00,USDC/USDT,0.99970000,0.99970000,0.99960000,0.99970000,4332085.00000000,4330526.25950000,1864
1637146800000,2021-11-17 11:00:00,USDC/USDT,0.99960000,0.99970000,0.99950000,0.99960000,8067636.00000000,8064134.56570000,2168
1637143200000,2021-11-17 10:00:00,USDC/USDT,0.99950000,0.99960000,0.99950000,0.99960000,11564675.00000000,11559680.29020000,2531
1637139600000,2021-11-17 09:00:00,USDC/USDT,0.99960000,0.99960000,0.99950000,0.99950000,4721729.00000000,4719529.78730000,1382
1637136000000,2021-11-17 08:00:00,USDC/USDT,0.99960000,0.99970000,0.99950000,0.99950000,9878629.00000000,9874622.95250000,1593
1637132400000,2021-11-17 07:00:00,USDC/USDT,0.99960000,0.99970000,0.99950000,0.99960000,6439902.00000000,6437197.92020000,1501
1637128800000,2021-11-17 06:00:00,USDC/USDT,0.99950000,0.99960000,0.99950000,0.99960000,3286665.00000000,3285122.15050000,1919
1637125200000,2021-11-17 05:00:00,USDC/USDT,0.99960000,0.99960000,0.99950000,0.99950000,4126177.00000000,4124350.55430000,1079
1637121600000,2021-11-17 04:00:00,USDC/USDT,0.99960000,0.99960000,0.99950000,0.99960000,6498955.00000000,6495943.07070000,1591
1637118000000,2021-11-17 03:00:00,USDC/USDT,0.99960000,0.99960000,0.99950000,0.99950000,6723268.00000000,6720267.72030000,1704
1637114400000,2021-11-17 02:00:00,USDC/USDT,0.99950000,0.99960000,0.99950000,0.99950000,5527205.00000000,5524787.06540000,1380
1637110800000,2021-11-17 01:00:00,USDC/USDT,0.99950000,0.99960000,0.99940000,0.99960000,4651725.00000000,4649589.84460000,1335
1637107200000,2021-11-17 00:00:00,USDC/USDT,0.99960000,0.99960000,0.99950000,0.99960000,6114934.00000000,6112099.58600000,1603
1637103600000,2021-11-16 23:00:00,USDC/USDT,0.99950000,0.99960000,0.99950000,0.99960000,4276852.00000000,4274927.73780000,1592
1637100000000,2021-11-16 22:00:00,USDC/USDT,0.99960000,0.99960000,0.99950000,0.99950000,6405942.00000000,6403009.13650000,2293
1637096400000,2021-11-16 21:00:00,USDC/USDT,0.99960000,0.99960000,0.99950000,0.99960000,10891788.00000000,10887012.60360000,3349
1637092800000,2021-11-16 20:00:00,USDC/USDT,0.99960000,0.99960000,0.99950000,0.99950000,6363112.00000000,6360252.62340000,2386
1637089200000,2021-11-16 19:00:00,USDC/USDT,0.99950000,0.99960000,0.99950000,0.99950000,6984268.00000000,6981201.54280000,1873
1637085600000,2021-11-16 18:00:00,USDC/USDT,0.99960000,0.99960000,0.99950000,0.99950000,5030196.00000000,5027933.94380000,1928
1637082000000,2021-11-16 17:00:00,USDC/USDT,0.99950000,0.99960000,0.99950000,0.99950000,4569241.00000000,4567120.04100000,1757
1637078400000,2021-11-16 16:00:00,USDC/USDT,0.99950000,0.99960000,0.99950000,0.99950000,5225124.00000000,5222813.77910000,1579
1637074800000,2021-11-16 15:00:00,USDC/USDT,0.99950000,0.99960000,0.99950000,0.99950000,5556930.00000000,5554357.04490000,2148
1637071200000,2021-11-16 14:00:00,USDC/USDT,0.99960000,0.99960000,0.99950000,0.99950000,7000124.00000000,6996873.42940000,2623
1637067600000,2021-11-16 13:00:00,USDC/USDT,0.99950000,0.99960000,0.99950000,0.99950000,6090735.00000000,6087854.35570000,2019
1637064000000,2021-11-16 12:00:00,USDC/USDT,0.99940000,0.99960000,0.99940000,0.99950000,6881880.00000000,6878375.14130000,2239
1637060400000,2021-11-16 11:00:00,USDC/USDT,0.99930000,0.99950000,0.99930000,0.99940000,9198540.00000000,9193243.62950000,2726
1637056800000,2021-11-16 10:00:00,USDC/USDT,0.99980000,1.00000000,0.99920000,0.99940000,24440890.00000000,24431556.48990000,6387
1637053200000,2021-11-16 09:00:00,USDC/USDT,0.99980000,0.99990000,0.99980000,0.99990000,8675358.00000000,8673923.60300000,2586
1637049600000,2021-11-16 08:00:00,USDC/USDT,0.99970000,0.99990000,0.99960000,0.99990000,11415455.00000000,11413446.99540000,2631
1637046000000,2021-11-16 07:00:00,USDC/USDT,0.99950000,0.99970000,0.99940000,0.99970000,11347855.00000000,11342756.81980000,1837
