https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XLM,Volume USDT,tradecount
1637193600000,2021-11-18 00:00:00,XLM/USDT,0.34620000,0.34750000,0.34500000,0.34650000,1368350.00000000,473613.92650000,1202
1637190000000,2021-11-17 23:00:00,XLM/USDT,0.34360000,0.34660000,0.34280000,0.34630000,2650826.00000000,914150.36810000,2576
1637186400000,2021-11-17 22:00:00,XLM/USDT,0.34600000,0.34640000,0.34250000,0.34360000,2313455.00000000,796509.21220000,2587
1637182800000,2021-11-17 21:00:00,XLM/USDT,0.34780000,0.34780000,0.34290000,0.34600000,3900068.00000000,1345102.39930000,3871
1637179200000,2021-11-17 20:00:00,XLM/USDT,0.34710000,0.34920000,0.34450000,0.34770000,3302137.00000000,1145795.35310000,3508
1637175600000,2021-11-17 19:00:00,XLM/USDT,0.34800000,0.34890000,0.34550000,0.34700000,2569617.00000000,891936.52250000,3128
1637172000000,2021-11-17 18:00:00,XLM/USDT,0.34750000,0.34890000,0.34610000,0.34800000,4458251.00000000,1548689.45240000,4274
1637168400000,2021-11-17 17:00:00,XLM/USDT,0.34850000,0.34950000,0.34530000,0.34750000,4623331.00000000,1604767.48600000,4187
1637164800000,2021-11-17 16:00:00,XLM/USDT,0.34430000,0.34920000,0.34250000,0.34840000,6761471.00000000,2340696.95880000,6381
1637161200000,2021-11-17 15:00:00,XLM/USDT,0.34170000,0.34570000,0.33990000,0.34430000,5662170.00000000,1938447.87180000,5158
1637157600000,2021-11-17 14:00:00,XLM/USDT,0.34360000,0.34650000,0.34140000,0.34180000,6125643.00000000,2108330.34960000,6086
1637154000000,2021-11-17 13:00:00,XLM/USDT,0.34390000,0.34510000,0.34270000,0.34380000,4166967.00000000,1433387.86250000,4600
1637150400000,2021-11-17 12:00:00,XLM/USDT,0.34550000,0.34670000,0.34360000,0.34370000,4832572.00000000,1669042.73200000,5465
1637146800000,2021-11-17 11:00:00,XLM/USDT,0.34210000,0.34610000,0.34090000,0.34580000,8508892.00000000,2922857.83710000,7600
1637143200000,2021-11-17 10:00:00,XLM/USDT,0.33350000,0.34300000,0.33230000,0.34200000,9716563.00000000,3284829.47530000,9028
1637139600000,2021-11-17 09:00:00,XLM/USDT,0.33690000,0.33700000,0.33250000,0.33350000,5689591.00000000,1904279.32800000,5645
1637136000000,2021-11-17 08:00:00,XLM/USDT,0.33820000,0.34130000,0.33680000,0.33700000,4297679.00000000,1456274.40880000,4882
