https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZEC,Volume USDT,tradecount
1637193600000,2021-11-18 00:00:00,ZEC/USDT,159.20000000,159.50000000,157.80000000,159.10000000,4918.25700000,780473.78470000,1692
1637190000000,2021-11-17 23:00:00,ZEC/USDT,156.50000000,159.50000000,156.20000000,159.30000000,15319.80700000,2415899.28640000,5578
1637186400000,2021-11-17 22:00:00,ZEC/USDT,156.50000000,156.70000000,154.60000000,156.50000000,15975.94200000,2488085.22170000,5497
1637182800000,2021-11-17 21:00:00,ZEC/USDT,158.20000000,158.20000000,155.50000000,156.40000000,12286.36600000,1921891.31370000,5449
1637179200000,2021-11-17 20:00:00,ZEC/USDT,157.60000000,158.40000000,156.40000000,158.20000000,12830.91700000,2021495.78020000,5319
1637175600000,2021-11-17 19:00:00,ZEC/USDT,159.20000000,159.80000000,157.30000000,157.70000000,8713.06100000,1380440.49490000,4715
1637172000000,2021-11-17 18:00:00,ZEC/USDT,159.70000000,160.30000000,158.50000000,159.20000000,12819.10800000,2044021.53810000,5079
1637168400000,2021-11-17 17:00:00,ZEC/USDT,161.20000000,161.50000000,158.70000000,159.60000000,14864.39100000,2370373.19780000,5603
1637164800000,2021-11-17 16:00:00,ZEC/USDT,157.70000000,161.80000000,156.00000000,161.30000000,22835.07800000,3630519.63630000,9081
1637161200000,2021-11-17 15:00:00,ZEC/USDT,157.10000000,157.80000000,155.00000000,157.70000000,18769.37000000,2938455.07430000,7629
1637157600000,2021-11-17 14:00:00,ZEC/USDT,159.50000000,160.30000000,157.10000000,157.20000000,20935.18700000,3326412.32320000,8005
1637154000000,2021-11-17 13:00:00,ZEC/USDT,161.80000000,162.40000000,159.40000000,159.40000000,13159.65400000,2119239.33880000,6126
1637150400000,2021-11-17 12:00:00,ZEC/USDT,161.60000000,164.30000000,160.80000000,161.70000000,33643.22400000,5469896.46800000,11508
1637146800000,2021-11-17 11:00:00,ZEC/USDT,159.30000000,161.80000000,158.90000000,161.60000000,21155.03500000,3396502.21270000,9257
1637143200000,2021-11-17 10:00:00,ZEC/USDT,154.50000000,159.50000000,153.00000000,159.20000000,30416.39900000,4746938.04990000,12396
1637139600000,2021-11-17 09:00:00,ZEC/USDT,158.50000000,158.60000000,154.10000000,154.50000000,20573.72300000,3209827.53310000,9058
1637136000000,2021-11-17 08:00:00,ZEC/USDT,159.00000000,160.40000000,158.30000000,158.50000000,14504.35200000,2309699.70830000,6427
1637132400000,2021-11-17 07:00:00,ZEC/USDT,156.70000000,160.00000000,155.50000000,159.00000000,24494.92000000,3860215.28480000,9334
1637128800000,2021-11-17 06:00:00,ZEC/USDT,159.40000000,159.70000000,155.50000000,156.70000000,18206.97500000,2865903.15710000,8557
